TimePoint,GCaMP,jRGECO
640,108871.026034808,63451.9922305701
641,108361.36905405,62940.4211229194
642,109491.585205054,63109.6092226523
643,109847.96740004,62841.2164614193
644,108714.757210637,62908.7034149794
645,108686.37039445,62738.7639618923
646,109409.033103292,62784.3325801891
647,109621.181248988,63148.7511444978
648,110290.260432585,63392.6703545361
649,109148.691323176,62809.1787149841
650,109169.393731408,63261.6298735783
651,109799.614240508,63735.7301640831
652,109783.161881712,62882.1152287473
653,109158.223903381,63800.7926518684
654,109596.073741008,63033.3831310426
655,109909.217374502,63350.633006988
656,108745.413673857,62994.5517459625
657,109727.893578507,62713.1606104478
658,109928.206431408,63475.9386065555
659,109382.035052899,63460.0720567105
660,108553.718044947,62957.0280285432
661,109335.960428182,62476.5402623461
662,108638.427796393,63158.3530913908
663,109118.00246816,63199.9239068006
664,108927.639503388,63388.4765943056
665,108868.709900547,63106.871947884
666,109162.209861445,63025.1967109814
667,108970.493203262,63007.3783922703
668,109271.142612391,63421.5875121363
669,109904.332573868,62954.1591090971
670,109407.439700864,63051.0336682805
671,110221.504840659,63074.4882815085
672,109627.856535384,63074.4741535453
673,110074.611552112,63415.5643538579
674,109518.116903925,62612.3703867313
675,109627.756135076,63047.0596700339
676,109419.707418285,62964.6954842394
677,110018.293856122,62674.2054469296
678,109537.49658747,62791.8867600566
679,110024.276616852,62582.5686150194
680,110250.645946534,62844.4131608115
681,109939.83633057,63192.3294360308
682,109352.595380373,63208.532184105
683,110493.995545005,62992.4848845456
684,110235.148769541,63513.9764171892
685,110433.514402941,63011.8183140623
686,110443.549430267,62983.4891137244
687,109846.719973913,62937.4990137993
688,109884.421484353,62577.5424955064
689,110997.214352236,63495.0251194218
690,110903.569671747,63228.8232650758
691,111237.19047624,62796.1379600786
692,110082.745711399,62669.0258862182
693,110803.858642225,63240.5374499934
694,110149.801495503,63439.5915095178
695,110283.393596352,63024.6599524102
696,109788.207883359,62674.9525418741
697,111536.140532754,63082.191925242
698,109986.087078987,63356.1573184437
699,110918.195095294,63434.2349408888
700,111288.887994224,63125.7555454414
701,110593.808033675,63018.7051222407
702,111256.351967486,63494.7434513623
703,110297.389153112,63537.029857129
704,109813.696078442,62988.1194778018
705,109761.745813094,63021.8797446983
706,110313.043448898,63252.2334148444
707,110134.988033413,63183.4458826488
708,110495.964361803,63861.01034888
709,110485.490527483,63005.653749204
710,110812.983109782,63696.6929373281
711,110258.58591421,62626.7607019109
712,110465.466528049,63206.485269804
713,109525.058951432,62979.0890051402
714,109490.652971051,62895.3412412921
715,109060.825145217,62807.0723401824
716,110770.709123445,63061.2509657495
717,109498.088805945,62894.6151523234
718,109717.269699769,63686.495021067
719,110215.484552107,62957.3025307919
720,110814.736207344,63239.7708171592
721,109210.367784511,62516.5219935415
722,109653.065269843,62713.3847924757
723,109404.682300205,62815.5800073194
724,109323.386546535,63096.8488132975
725,109030.381291664,62782.3890939261
726,109022.364139571,62750.4884688824
727,109057.318345342,62716.4811303785
728,110213.04330669,62750.9191320339
729,109102.797617546,62487.9895660217
730,109432.364998933,63122.7335288198
731,109349.887234123,63425.334585733
732,109055.661117076,62488.8523071446
733,108693.302780035,62843.1650495073
734,109492.274018498,63068.4801604244
735,108970.238707023,62082.6218554758
736,109220.182265749,62845.6786140127
737,108934.420998714,62065.021474298
738,109155.297193864,62561.8510941895
739,108953.510993695,62714.9175387144
740,107794.431544502,61541.4583343381
741,109038.545024886,63165.4645345908
742,108535.533456913,62553.0339827525
743,108639.53793971,63198.245915036
744,107789.933192493,62787.2331194787
745,108090.233522939,62614.0924925293
746,108297.742715582,62286.1785495866
747,108707.105814271,62657.2668920049
748,108161.954270827,62126.3213060489
749,108440.900548286,62502.5874892933
750,109609.678723805,62797.1392621835
751,108702.957535514,62753.7676274863
752,109403.370111422,62769.7043097916
753,107861.460948056,62414.7629645634
754,109153.770515217,62690.6180578315
755,108437.337759196,62020.4762016903
756,108631.026343081,62622.6345223707
757,109067.954379434,62573.5196683289
758,109268.718491936,62469.6228118068
759,108211.155441305,62036.4760562858
760,108535.691371395,63250.5984963269
761,108408.427282607,62063.8363656547
762,108874.892627086,63040.7467996256
763,108427.115848678,61708.4961435374
764,109228.448174378,62391.3998979809
765,109057.550269297,62100.8098907878
766,108667.238002336,62296.8904054313
767,108343.78419924,62674.9372490064
768,107887.294434924,62138.089538023
769,109132.282324874,62329.1149490645
770,107758.854225077,62002.2689781932
771,109308.106561934,62544.4967942781
772,108720.31294895,62469.2524253092
773,108223.111765002,61915.5017122683
774,107959.242664801,62306.1425130536
775,108057.544214008,62482.0719018447
776,109557.597722835,63194.184444454
777,109785.342114194,62285.6697251455
778,108590.172183176,62338.4269085205
779,109394.089934102,62196.3517774303
780,108790.09464936,63206.3802062585
781,108927.455387599,62124.6712914205
782,110279.970896072,62701.4068814246
783,109335.137343084,62573.6457928685
784,108687.679308087,62122.2919967271
785,109272.944595531,62520.298062064
786,109088.924411915,62797.5870132398
787,109024.519872101,61968.2174473564
788,109282.535680771,62680.264388129
789,108616.824167203,62688.4413182679
790,109018.469285659,62389.3805923428
791,109191.570269737,62412.0208229292
792,108952.934162368,62207.0210127968
793,108642.360646273,61841.1702657684
794,108643.646412848,62083.0309689079
795,109284.347822052,61990.228611998
796,110214.339101283,62260.5364759497
797,109266.115891414,62707.5092732695
798,109236.148478278,62073.9707551729
799,109465.447645151,62716.5192371657
800,110187.094200081,62369.8097800923
801,109474.58159871,62721.036729647
802,109998.274880958,62455.2360831376
803,109715.389482685,62861.06354369
804,109046.63089206,62662.0385079595
805,109069.338471664,62227.1604105264
806,109883.908003829,62642.4406904656
807,109292.650478292,61826.9252655287
808,109261.232364137,62232.3979841657
809,109409.408477594,62202.3175632485
810,109722.049685323,61854.0289087542
811,109361.285545731,62275.0669244927
812,108866.283160816,62436.1603815474
813,108685.075678176,62459.3662559316
814,108368.234157417,62190.3251296829
815,108547.767633909,62498.6454587603
816,108686.633470824,61956.3218347388
817,108890.838995593,62738.1013828962
818,109199.627290753,62637.8721870429
819,108622.333708045,61902.617594481
820,108670.666932129,62013.0155305419
821,109560.567207215,62878.5172648743
