Wavelength_nm,GCaMP,jRGECO
626.894,3.23166742653153e-07,3.9459176889238e-05
627.228,2.80360240537393e-07,3.65142994331317e-05
627.562,2.2693388513065e-07,3.19445288552818e-05
627.896,1.59381160667188e-07,2.44259365168117e-05
628.23,9.60341321588777e-08,1.65153594747609e-05
628.564,1.02788270020259e-07,2.03825086426659e-05
628.898,9.40256551129012e-08,2.20624067669027e-05
629.232,1.00071254566542e-07,2.68789009697622e-05
629.566,9.19715644564078e-08,2.79522564829819e-05
629.9,7.97995572367271e-08,2.7968839963491e-05
630.233,7.78422263669656e-08,3.06220988984815e-05
630.567,7.52018533128794e-08,3.2957195271963e-05
630.901,7.37863536558245e-08,3.65449237357359e-05
631.234,7.05764789502189e-08,3.62010776046237e-05
631.568,7.06726516268944e-08,3.60108976663304e-05
631.901,7.82510734761503e-08,3.96199865469086e-05
632.235,8.11287137391014e-08,4.2251491271362e-05
632.568,6.66446901238054e-08,3.629495373305e-05
632.901,7.56406417310802e-08,4.32002458435622e-05
633.235,5.67466544220143e-08,3.88662046654404e-05
633.568,4.57181996650101e-08,4.22955423528919e-05
633.901,3.06891826620379e-08,4.3956461392712e-05
634.234,1.79755047699261e-08,4.00413221414041e-05
634.567,8.41523017233276e-09,3.29587916001351e-05
634.9,1.94272288272803e-09,3.27480956135846e-05
635.233,2.00458155808882e-18,3.02416183768149e-05
635.566,2.70010121867857e-18,4.04647837546442e-05
635.899,2.67584025274971e-18,3.98258707951366e-05
636.232,2.56634788976042e-18,3.79503007400032e-05
636.565,2.33450799907787e-18,3.43110756148859e-05
636.897,2.61337936915475e-18,3.81786231300587e-05
637.23,2.63878468399958e-18,3.83072178508839e-05
637.563,3.07766840018976e-18,4.440167996657e-05
637.895,3.59739808535608e-18,5.15890303885322e-05
638.228,4.05462584967204e-18,5.77524730007616e-05
638.56,4.4235086972588e-18,6.25708028354427e-05
638.893,4.59697925966261e-18,6.45691546829464e-05
639.225,4.77347411052564e-18,6.65547624540415e-05
639.557,5.11460624816907e-18,7.07785272787808e-05
639.89,5.10660138234204e-18,7.01325966043386e-05
640.222,4.89718292996875e-18,6.67787104572508e-05
640.554,4.87232518527011e-18,6.59771231923003e-05
640.886,5.01287735637336e-18,6.74105084265825e-05
641.218,4.74130487853981e-18,6.33125141037979e-05
641.55,5.25861702781407e-18,6.97514317143721e-05
641.882,5.14063775094715e-18,6.77173901090508e-05
642.214,5.03640203548501e-18,6.58736538840687e-05
642.546,4.77606576951367e-18,6.20081157670719e-05
642.878,5.01462668998104e-18,6.46388344816646e-05
643.209,4.99386553316552e-18,6.38657659391523e-05
643.541,4.76751413158059e-18,6.04699450507931e-05
643.873,4.40858837677649e-18,5.54569894266018e-05
644.204,4.61906873423822e-18,5.76247457790688e-05
644.536,4.84077744806604e-18,5.98858971408707e-05
644.867,5.06583342468639e-18,6.21397408069219e-05
645.199,4.61158868002971e-18,5.61060093919214e-05
645.53,4.39665578084971e-18,5.30677844079697e-05
645.862,4.0895874018686e-18,4.89639514620775e-05
646.193,4.46031974939789e-18,5.29925142464297e-05
646.524,4.42955946880376e-18,5.221904927227e-05
646.855,4.18536589645606e-18,4.89536423420921e-05
647.186,4.10638729214733e-18,4.76282269817087e-05
647.517,4.65915583547851e-18,5.35754674261922e-05
647.849,4.99452147967116e-18,5.6928635095297e-05
648.18,5.35989659517362e-18,6.05370369198346e-05
